stno,year,month,day,hour,minute,date,imaxrdry,maxdry,imindry,mindry,istddry,stdddry,imaxgrass,maxgrass,imingrass,mingrass,istdgrass,stdgrass,imaxsoil5,maxsoil5,iminsoil5,minsoil5,istdsoil5,stdsoil5,imaxsoil10,maxsoil10,iminsoil10,minsoil10,istdsoil10,stdsoil10,imaxsoil20,maxsoil20,iminsoil20,minsoil20,istdsoil20,stdsoil20,imaxearth30,maxearth30,iminearth30,minearth30,istdearth30,stdearth30,imaxearth50,maxearth50,iminearth50,minearth50,istdearth50,stdearth50,imaxearth100,maxearth100,iminearth100,minearth100,istdearth100,stdearth100,imaxhum,maxhum,iminhum,minhum,istdhum,stdhum,imaxbaro,maxbaro,iminbaro,minbaro,istdbaro,stdbaro
175,2017,8,1,0,0,01-aug-2017 00:00:00,0,12.300,0,12.230,0,0.017,0,11.500,0,11.300,0,0.054,0,15.950,0,15.880,0,0.018,0,17.120,0,17.050,0,0.017,0,18.370,0,18.320,0,0.010,0,17.860,0,17.830,0,0.008,0,17.530,0,17.490,0,0.007,0,16.810,0,16.780,0,0.007,0,96.800,0,95.700,0,0.260,0,1003.400,0,1003.360,0,0.011
175,2017,8,1,0,10,01-aug-2017 00:10:00,0,12.250,0,12.190,0,0.017,0,11.820,0,11.460,0,0.105,0,15.880,0,15.820,0,0.015,0,17.060,0,17.000,0,0.017,0,18.330,0,18.290,0,0.010,0,17.850,0,17.810,0,0.008,0,17.530,0,17.490,0,0.008,0,16.810,0,16.790,0,0.004,0,96.900,0,95.600,0,0.343,0,1003.400,0,1003.360,0,0.014
175,2017,8,1,0,20,01-aug-2017 00:20:00,0,12.260,0,12.220,0,0.010,0,11.850,0,11.760,0,0.026,0,15.840,0,15.780,0,0.016,0,17.010,0,16.940,0,0.018,0,18.300,0,18.260,0,0.010,0,17.820,0,17.790,0,0.007,0,17.530,0,17.490,0,0.007,0,16.820,0,16.780,0,0.008,0,97.000,0,95.800,0,0.325,0,1003.360,0,1003.330,0,0.008
175,2017,8,1,0,30,01-aug-2017 00:30:00,0,12.370,0,12.230,0,0.041,0,12.010,0,11.760,0,0.071,0,15.790,0,15.740,0,0.013,0,16.960,0,16.890,0,0.015,0,18.270,0,18.220,0,0.010,0,17.810,0,17.760,0,0.009,0,17.530,0,17.500,0,0.008,0,16.810,0,16.780,0,0.007,0,97.100,0,96.000,0,0.289,0,1003.390,0,1003.330,0,0.017
175,2017,8,1,0,40,01-aug-2017 00:40:00,0,12.380,0,12.340,0,0.009,0,12.090,0,12.010,0,0.023,0,15.750,0,15.690,0,0.014,0,16.900,0,16.840,0,0.015,0,18.240,0,18.180,0,0.013,0,17.780,0,17.760,0,0.007,0,17.530,0,17.510,0,0.007,0,16.810,0,16.780,0,0.006,0,97.000,0,96.100,0,0.242,0,1003.360,0,1003.320,0,0.011
175,2017,8,1,0,50,01-aug-2017 00:50:00,0,12.420,0,12.350,0,0.018,0,12.030,0,11.880,0,0.047,0,15.720,0,15.680,0,0.010,0,16.850,0,16.790,0,0.015,0,18.200,0,18.160,0,0.011,0,17.770,0,17.740,0,0.007,0,17.530,0,17.500,0,0.007,0,16.810,0,16.780,0,0.006,0,96.800,0,95.200,0,0.411,0,1003.360,0,1003.280,0,0.015
175,2017,8,1,1,0,01-aug-2017 01:00:00,0,12.460,0,12.410,0,0.011,0,11.990,0,11.910,0,0.020,0,15.680,0,15.610,0,0.016,0,16.810,0,16.750,0,0.016,0,18.170,0,18.120,0,0.012,0,17.760,0,17.710,0,0.010,0,17.540,0,17.510,0,0.007,0,16.810,0,16.780,0,0.007,0,96.400,0,95.000,0,0.363,0,1003.320,0,1003.280,0,0.010
175,2017,8,1,1,10,01-aug-2017 01:10:00,0,12.480,0,12.420,0,0.017,0,12.080,0,11.900,0,0.050,0,15.640,0,15.580,0,0.015,0,16.760,0,16.700,0,0.015,0,18.140,0,18.090,0,0.013,0,17.730,0,17.710,0,0.008,0,17.540,0,17.520,0,0.006,0,16.810,0,16.780,0,0.006,0,96.400,0,95.500,0,0.230,0,1003.330,0,1003.290,0,0.008
175,2017,8,1,1,20,01-aug-2017 01:20:00,0,12.520,0,12.460,0,0.012,0,12.110,0,12.070,0,0.010,0,15.600,0,15.550,0,0.014,0,16.710,0,16.650,0,0.014,0,18.100,0,18.070,0,0.008,0,17.710,0,17.680,0,0.010,0,17.540,0,17.510,0,0.006,0,16.810,0,16.780,0,0.007,0,96.600,0,95.700,0,0.242,0,1003.330,0,1003.280,0,0.012
175,2017,8,1,1,30,01-aug-2017 01:30:00,0,12.520,0,12.480,0,0.007,0,12.100,0,12.000,0,0.025,0,15.560,0,15.510,0,0.012,0,16.670,0,16.620,0,0.012,0,18.080,0,18.030,0,0.012,0,17.690,0,17.660,0,0.008,0,17.540,0,17.510,0,0.006,0,16.800,0,16.780,0,0.006,0,96.300,0,95.000,0,0.415,0,1003.330,0,1003.280,0,0.017
