date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl
01/04/2016 00:00,0,0,0,6.3,0,5.1,3.3,7.7,81,1015.7
01/04/2016 01:00,0,0,0,6.8,0,5.4,3.5,7.9,79,1015
01/04/2016 02:00,0,0,0,7.4,0,5.8,3.5,7.9,76,1013.9
01/04/2016 03:00,0,0,0,7.8,0,5.9,3.3,7.8,73,1013.1
01/04/2016 04:00,0,0,0,7.6,0,6.3,4.7,8.5,81,1012.4
01/04/2016 05:00,0,0.1,0,7,0,6,4.7,8.5,85,1011.7
01/04/2016 06:00,0,0.1,0,7.4,0,6.2,4.6,8.5,82,1010.9
01/04/2016 07:00,0,0.2,0,7.4,0,6.6,5.6,9.1,88,1009.9
01/04/2016 08:00,0,0,0,8.4,0,7.3,5.8,9.2,83,1008.9
01/04/2016 09:00,0,0,0,8.9,0,7.6,6,9.3,81,1008.4
01/04/2016 10:00,0,0,0,9.3,0,7.7,5.9,9.3,79,1008
01/04/2016 11:00,0,0,0,9.6,0,8,6,9.4,78,1007.1
01/04/2016 12:00,0,0,0,10.3,0,9,7.5,10.4,82,1006.6
01/04/2016 13:00,0,0.2,0,10.3,0,9.1,7.8,10.6,84,1006.1
01/04/2016 14:00,0,0.2,0,10.5,0,9.7,8.8,11.4,89,1005
01/04/2016 15:00,0,0.4,0,11,0,10.2,9.4,11.8,89,1004.4
01/04/2016 16:00,0,0.1,0,10.9,0,10,9.1,11.6,88,1004.1
01/04/2016 17:00,0,0.2,0,10.8,0,10.1,9.5,11.9,91,1004.2
01/04/2016 18:00,0,1.3,0,8.7,0,8.7,8.7,11.2,99,1005.1
01/04/2016 19:00,0,0.3,0,8.2,0,8.2,8.1,10.8,99,1005.7
01/04/2016 20:00,0,0.1,0,8,0,7.9,7.9,10.7,99,1006
01/04/2016 21:00,0,0.1,0,7.9,0,7.8,7.8,10.6,99,1006.5
01/04/2016 22:00,0,0,0,8.2,0,8.2,8.1,10.8,99,1006.8
01/04/2016 23:00,0,0,0,8.1,0,8.1,8.1,10.8,99,1007.2
02/04/2016 00:00,0,0,0,8.3,0,8.3,8.2,10.9,99,1007.5
02/04/2016 01:00,0,0,0,7.5,0,7.5,7.4,10.3,99,1007.8
02/04/2016 02:00,0,0,0,6.8,0,6.8,6.7,9.8,99,1007.8
02/04/2016 03:00,0,0,0,6.3,0,6.2,6.2,9.5,99,1007.9
02/04/2016 04:00,0,0,0,6,0,6,6,9.3,99,1007.8
02/04/2016 05:00,0,0,0,5.8,0,5.8,5.8,9.2,99,1007.7
02/04/2016 06:00,0,0,0,6,0,5.9,5.9,9.3,99,1007.9
02/04/2016 07:00,0,0,0,6.3,0,6.2,6.2,9.5,99,1008
02/04/2016 08:00,0,0,0,7.6,0,7.6,7.6,10.4,99,1008
02/04/2016 09:00,0,0,0,8.7,0,8.6,8.6,11.2,99,1008
02/04/2016 10:00,0,0.2,0,8.7,0,8.7,8.7,11.2,99,1008
02/04/2016 11:00,0,0.4,0,8.7,0,8.3,7.8,10.6,94,1007.9
02/04/2016 12:00,0,0.9,0,8.2,0,8.1,8,10.7,98,1007.2
02/04/2016 13:00,0,2.1,0,8.4,0,8.4,8.4,11,99,1006.5
02/04/2016 14:00,0,1,0,8.5,0,8.4,8.4,11,99,1005.4
02/04/2016 15:00,0,0.3,0,9,0,9,9,11.5,99,1004.6
02/04/2016 16:00,0,0.4,0,9.5,0,9.1,8.8,11.3,95,1004.5
02/04/2016 17:00,0,0.4,0,9,0,8.2,7.3,10.2,88,1004.5
02/04/2016 18:00,0,0.1,0,8.6,0,7.9,7.1,10.1,90,1004.5
02/04/2016 19:00,0,0,0,8.2,0,7.2,5.9,9.3,85,1004.6
02/04/2016 20:00,0,0,0,8.2,0,7.3,6.4,9.6,88,1004.6
02/04/2016 21:00,0,0,0,7.8,0,7.4,7,10,94,1004.4
02/04/2016 22:00,0,0.1,0,7.5,0,6.7,5.9,9.3,89,1004.5
02/04/2016 23:00,0,0,0,7.1,0,6.3,5.3,8.9,88,1004.2
03/04/2016 00:00,0,0,0,7,0,6.3,5.4,9,90,1003.9
03/04/2016 01:00,0,0.1,0,6.8,0,6.2,5.6,9.1,92,1003.1
03/04/2016 02:00,0,0.3,0,6.5,0,6.3,6,9.3,96,1002.6
03/04/2016 03:00,0,0.3,0,6.5,0,6.1,5.6,9.1,93,1002.2
03/04/2016 04:00,0,0.7,0,6.4,0,6.3,6.1,9.4,97,1001.9
03/04/2016 05:00,0,0.2,0,6.2,0,6.1,6,9.4,98,1001.9
03/04/2016 06:00,0,0.5,0,6.4,0,6.3,6.3,9.6,99,1001.7
03/04/2016 07:00,0,0.2,0,6.5,0,6.5,6.4,9.6,99,1001.7
03/04/2016 08:00,0,0.3,0,6.9,0,6.8,6.8,9.9,99,1001.5
03/04/2016 09:00,0,0.1,0,7.5,0,7.5,7.5,10.4,99,1001.4
